CellId,AltFreq,AltPos,SepBF,Pval1,Pval2,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,MlpxRate,PrState1,Switch12,Switch21,ProbMlpx,PvalSep,PrBinSep,MinSampSize,Pswitch0_10,Pswitch10_20,Pswitch20_30,Pswitch30_40,Pswitch40_50,Pswitch50_60,Pswitch60_70,Pswitch70_80,Pswitch80_90,Pswitch90_100,Rule_5_5_5,PairId
PSIC111010Loc_DoubleSound,609,6,3.6474,0.4193,0.1923,0.230433295,0.189418988,0.146227178,0.433920539,Single,0.433920539,0.56,0.43,0.38,0.34,0.59,0,0,10,0,0,0,0,1,9,0,0,0,0,TRUE,NA
PSIC091310Loc_DoubleSound,500,6,11.9231,0.3402,0.4436,0.433162281,0.167103343,7.51E-05,0.399659303,Mixture,0.433162281,0.4,0.71,0.32,0.36,0.35,0,0,16,0,0,4,4,6,2,0,0,0,0,TRUE,NA
PSIC091410Loc_DoubleSound,1100,6,9.4633,0.4112,0.3222,0.308310088,0.432077969,0.027804727,0.231807215,Average,0.432077969,0.58,0.51,0.37,0.41,0.61,0.01,0.05,25,0,0,0,0,1,13,5,0,0,0,TRUE,NA
PSIC100810Loc_DoubleSound,500,6,5.0743,0.3054,0.1043,0.31392853,0.431067784,0.039696592,0.215307093,Average,0.431067784,0.52,0.51,0.36,0.36,0.53,0.01,0.07,14,0,0,0,0,2,6,0,0,0,0,TRUE,NA
PSIC100510Loc_DoubleSound,903,24,7.7208,0.7323,0.5588,0.18776756,0.429020548,0.097436883,0.285775008,Average,0.429020548,0.61,0.48,0.39,0.36,0.67,0.01,0.06,6,0,0,0,0,0,1,6,0,0,0,TRUE,NA
PSIC091310Loc_DoubleSound,1100,-6,9.2555,0.2747,0.8015,0.1953867,0.37069539,0.005207921,0.428709989,Single,0.428709989,0.61,0.35,0.43,0.3,0.68,0.01,0.07,13,0,0,0,0,0,1,6,0,0,0,TRUE,NA
YKIC110411_3Loc_DoubleSound,609,-24,8.2317,0.1687,0.4369,0.363546309,0.207702483,0.001314303,0.427436905,Single,0.427436905,0.48,0.74,0.27,0.38,0.45,0.01,0.03,5,0,0,0,3,0,2,1,0,0,0,TRUE,NA
YKIC110311Loc_DoubleSound,500,24,4.0388,0.6099,0.1841,0.426696502,0.025132781,0.195874274,0.352296444,Mixture,0.426696502,0.37,0.14,0.32,0.22,0.36,0.01,0.03,17,0,0,8,8,10,0,0,0,0,0,TRUE,NA
PSIC092410Loc_DoubleSound,903,24,11.8184,0.7003,0.3197,0.426014438,0.30885541,0.005962997,0.259167155,Mixture,0.426014438,0.37,0.58,0.3,0.33,0.29,0.01,0.01,7,0,0,2,3,0,0,0,0,0,0,TRUE,NA
PSIC092910Loc_DoubleSound,903,24,6.1238,0.1635,0.2749,0.150438462,0.424178396,0.003489136,0.421894006,Average,0.424178396,0.54,0.33,0.39,0.32,0.57,0,0.16,13,0,0,0,0,0,11,0,0,0,0,TRUE,NA
YKIC140507Loc_DoubleSound,500,6,17.9097,0.4281,0.6604,0.421087474,0.370421145,0.031881968,0.176609413,Mixture,0.421087474,0.76,0.31,0.38,0.27,0.9,0.01,0,10,0,0,0,0,0,1,1,1,6,2,TRUE,2
